Lambda,time
0.0,0.00028
0.05,0.000178
0.1,0.000153
0.15,0.000171
0.2,0.00017
0.25,0.000171
0.3,0.000174
0.35,0.000169
0.4,0.00016
0.45,0.000164
0.5,0.000169
0.55,0.000169
0.6,0.00019
0.65,0.00011
0.7,0.000163
0.75,0.00012
0.8,0.000206
0.85,0.00011
0.9,0.000169
0.95,0.000169
1.0,0.000167
1.05,0.00017
1.1,0.000171
1.15,0.000172
1.2,0.000225
1.25,0.00017
1.3,0.000169
1.35,0.00017
1.4,0.000168
1.45,0.000168
1.5,0.000176
1.55,0.00017
1.6,0.00017
1.65,0.000181
1.7,0.000168
1.75,0.00026
1.8,0.000182
1.85,0.00017
1.9,0.000261
1.95,0.000162
2.0,0.000171
2.05,0.000174
2.1,0.000172
2.15,0.000172
2.2,0.000165
2.25,0.000169
2.3,0.000184
2.35,0.000241
2.4,0.000176
2.45,0.000181
2.5,0.000164
2.55,0.000175
2.6,0.000194
2.65,0.000174
2.7,0.000167
2.75,0.000176
2.8,0.000268
2.85,0.000165
2.9,0.000167
2.95,0.000171
3.0,0.000174
